ONS Code,Region or Country,Road user type,Severity,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,
E12000001,North East,Pedestrians,Killed,22,21,21,11,11,23,21,18,15,7,,,,,,,,,,,,,
E12000002,North West,Pedestrians,Killed,47,42,46,54,70,52,54,60,51,54,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Pedestrians,Killed,35,37,38,35,32,47,50,44,36,42,,,,,,,,,,,,,
E12000004,East Midlands,Pedestrians,Killed,22,15,26,26,32,40,36,49,22,30,,,,,,,,,,,,,
E12000005,West Midlands,Pedestrians,Killed,41,49,45,40,49,40,46,41,32,33,,,,,,,,,,,,,
E12000006,East of England,Pedestrians,Killed,31,30,40,39,41,44,40,38,21,30,,,,,,,,,,,,,
E12000007,London,Pedestrians,Killed,70,65,66,66,61,73,57,68,45,36,,,,,,,,,,,,,
E12000008,South East,Pedestrians,Killed,48,40,62,47,67,55,55,51,48,45,,,,,,,,,,,,,
E12000009,South West,Pedestrians,Killed,35,35,33,28,39,36,39,29,22,32,,,,,,,,,,,,,
E92000001,England,Pedestrians,Killed,351,334,377,346,402,410,398,398,292,309,,,,,,,,,,,,,
W92000004,Wales,Pedestrians,Killed,15,27,13,21,14,22,25,26,20,15,,,,,,,,,,,,,
S92000003,Scotland,Pedestrians,Killed,54,37,56,41,32,38,33,46,34,37,,,,,,,,,,,,,
K03000001,Great Britain,Pedestrians,Killed,420,398,446,408,448,470,456,470,346,361,,,,,,,,,,,,,
N92000002,Northern Ireland,Pedestrians,Killed,,7,18,19,15,15,16,17,6,8,,,,,,,,,,,,,
K02000001,United Kingdom,Pedestrians,Killed,,405,464,427,463,485,472,487,352,369,,,,,,,,,,,,,
E12000001,North East,Pedal cyclists,Killed,6,6,3,1,3,6,1,3,7,2,,,,,,,,,,,,,
E12000002,North West,Pedal cyclists,Killed,10,9,13,7,16,10,14,12,20,9,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Pedal cyclists,Killed,11,7,7,8,11,10,4,14,13,10,,,,,,,,,,,,,
E12000004,East Midlands,Pedal cyclists,Killed,11,11,14,16,11,11,11,9,17,10,,,,,,,,,,,,,
E12000005,West Midlands,Pedal cyclists,Killed,7,8,11,12,8,11,9,7,13,3,,,,,,,,,,,,,
E12000006,East of England,Pedal cyclists,Killed,10,7,10,9,7,12,11,17,16,10,,,,,,,,,,,,,
E12000007,London,Pedal cyclists,Killed,14,14,13,9,8,10,12,5,6,10,,,,,,,,,,,,,
E12000008,South East,Pedal cyclists,Killed,19,14,21,17,18,17,19,13,24,26,,,,,,,,,,,,,
E12000009,South West,Pedal cyclists,Killed,17,15,8,14,9,5,9,6,8,14,,,,,,,,,,,,,
E92000001,England,Pedal cyclists,Killed,105,91,100,93,91,92,90,86,124,94,,,,,,,,,,,,,
W92000004,Wales,Pedal cyclists,Killed,4,5,5,2,3,4,3,6,6,7,,,,,,,,,,,,,
S92000003,Scotland,Pedal cyclists,Killed,9,13,8,5,8,5,6,8,11,10,,,,,,,,,,,,,
K03000001,Great Britain,Pedal cyclists,Killed,118,109,113,100,102,101,99,100,141,111,,,,,,,,,,,,,
N92000002,Northern Ireland,Pedal cyclists,Killed,,4,3,0,3,2,1,2,4,0,,,,,,,,,,,,,
K02000001,United Kingdom,Pedal cyclists,Killed,,113,116,100,105,103,100,102,145,111,,,,,,,,,,,,,
E12000001,North East,Motorcycle users,Killed,9,12,7,15,9,7,9,9,13,7,,,,,,,,,,,,,
E12000002,North West,Motorcycle users,Killed,40,26,36,37,26,25,39,28,25,32,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Motorcycle users,Killed,22,40,29,33,23,30,40,47,32,29,,,,,,,,,,,,,
